"variable","pct_missing_overall","run_id","run_ts"
"vbg_o2sat",86.4541062801932,"20260205_144255","2026-02-05 14:42:55.002451"
"bnp",81.5652173913043,"20260205_144255","2026-02-05 14:42:55.002451"
"vbg_co2",72.0772946859903,"20260205_144255","2026-02-05 14:42:55.002451"
"spo2",71.0338164251208,"20260205_144255","2026-02-05 14:42:55.002451"
"paco2",63.0724637681159,"20260205_144255","2026-02-05 14:42:55.002451"
"serum_lac",60.3864734299517,"20260205_144255","2026-02-05 14:42:55.002451"
"curr_bmi",56.695652173913,"20260205_144255","2026-02-05 14:42:55.002451"
"serum_phos",52.792270531401,"20260205_144255","2026-02-05 14:42:55.002451"
"temp_new",48.3285024154589,"20260205_144255","2026-02-05 14:42:55.002451"
"hr",36.5217391304348,"20260205_144255","2026-02-05 14:42:55.002451"
"dbp",30.0676328502415,"20260205_144255","2026-02-05 14:42:55.002451"
"sbp",29.8357487922705,"20260205_144255","2026-02-05 14:42:55.002451"
"wbc",17.2753623188406,"20260205_144255","2026-02-05 14:42:55.002451"
"serum_ca",9.95169082125604,"20260205_144255","2026-02-05 14:42:55.002451"
"serum_cr",9.29468599033816,"20260205_144255","2026-02-05 14:42:55.002451"
"serum_k",7.76811594202899,"20260205_144255","2026-02-05 14:42:55.002451"
"plt",7.7487922705314,"20260205_144255","2026-02-05 14:42:55.002451"
"serum_cl",5.75845410628019,"20260205_144255","2026-02-05 14:42:55.002451"
"serum_hco3",5.44927536231884,"20260205_144255","2026-02-05 14:42:55.002451"
"sodium",5.04347826086957,"20260205_144255","2026-02-05 14:42:55.002451"
"age_at_encounter",0,"20260205_144255","2026-02-05 14:42:55.002451"
"sex",0,"20260205_144255","2026-02-05 14:42:55.002451"
"race_ethnicity",0,"20260205_144255","2026-02-05 14:42:55.002451"
"copd",0,"20260205_144255","2026-02-05 14:42:55.002451"
"asthma",0,"20260205_144255","2026-02-05 14:42:55.002451"
"osa",0,"20260205_144255","2026-02-05 14:42:55.002451"
"chf",0,"20260205_144255","2026-02-05 14:42:55.002451"
"acute_nmd",0,"20260205_144255","2026-02-05 14:42:55.002451"
"phtn",0,"20260205_144255","2026-02-05 14:42:55.002451"
"ckd",0,"20260205_144255","2026-02-05 14:42:55.002451"
"dm",0,"20260205_144255","2026-02-05 14:42:55.002451"
"location",0,"20260205_144255","2026-02-05 14:42:55.002451"
"encounter_type",0,"20260205_144255","2026-02-05 14:42:55.002451"
"imv_proc",0,"20260205_144255","2026-02-05 14:42:55.002451"
"niv_proc",0,"20260205_144255","2026-02-05 14:42:55.002451"
"hypercap_resp_failure",0,"20260205_144255","2026-02-05 14:42:55.002451"
